"序号	名称					饮食	旅游	运动	学习	热度"		类别（0代表学校，1代表景点）
"45	深圳大学（广东）		0.20	0.10	0.15	0.55	85"		0
"46	南方科技大学（广东）		0.10	0.05	0.10	0.75	88"		0
"47	西安交通大学（陕西）		0.10	0.05	0.15	0.70	93"		0
"48	西北工业大学（陕西）		0.10	0.05	0.20	0.65	87"		0
"49	西北大学（陕西）		0.15	0.10	0.10	0.65	76"		0
"50	长安大学（陕西）		0.10	0.05	0.15	0.70	74"		0
"51	哈尔滨工业大学			0.10	0.05	0.20	0.65	92"		0
"52	哈尔滨工程大学			0.10	0.05	0.15	0.70	80"		0
"53	吉林大学（吉林）		0.15	0.10	0.15	0.60	86"		0
"54	大连理工大学（辽宁）		0.10	0.05	0.15	0.70	88"		0
"55	东北大学（辽宁）		0.10	0.05	0.15	0.70	83"		0
"56	大连海事大学（辽宁）		0.10	0.05	0.10	0.75	75"		0
"57	山东大学（山东）		0.15	0.10	0.15	0.60	90"		0
"58	中国海洋大学（山东）		0.10	0.10	0.15	0.65	84"		0
"59	山东科技大学（山东）		0.10	0.05	0.15	0.70	70"		0
"60	中国石油大学（华东）		0.10	0.05	0.15	0.70	78"		0
"61	四川大学（四川）		0.15	0.10	0.15	0.60	91"		0
"62	电子科技大学（四川）		0.10	0.05	0.15	0.70	89"		0
"63	西南交通大学（四川）		0.10	0.05	0.15	0.70	81"		0
"64	厦门大学（福建）		0.15	0.15	0.10	0.60	94"		0
"65	福州大学（福建）		0.10	0.05	0.15	0.70	77"		0
"66	华侨大学（福建）		0.15	0.10	0.10	0.65	73"		0
"67	兰州大学（甘肃）		0.10	0.05	0.15	0.70	82"		0
"68	湖南大学（湖南）		0.15	0.10	0.10	0.65	85"		0
"69	中南大学（湖南）		0.10	0.05	0.15	0.70	87"		0
"70	湖南师范大学（湖南）		0.10	0.05	0.10	0.75	71"		0
"71	国防科技大学（湖南）		0.05	0.00	0.20	0.75	90"		0
"72	中国科学技术大学（安徽）	0.10	0.05	0.15	0.70	96"		0
"73	安徽大学（安徽）		0.15	0.05	0.10	0.70	75"		0
"74	郑州大学（河南）		0.15	0.05	0.15	0.65	83"		0
"75	河南大学（河南）		0.15	0.10	0.10	0.65	76"		0
"76	云南大学（云南）		0.15	0.10	0.10	0.65	79"		0
"77	昆明理工大学（云南）		0.10	0.05	0.15	0.70	70"		0
"78	贵州大学（贵州）		0.15	0.05	0.10	0.70	72"		0
"79	贵州师范大学（贵州）		0.10	0.05	0.10	0.75	68"		0
"80	新疆大学（新疆）		0.10	0.05	0.15	0.70	69"		0
"81	西藏大学（西藏）		0.10	0.10	0.10	0.70	65"		0
"82	西藏民族大学（陕西）		0.05	0.10	0.10	0.75	60"		0
"83	宁夏大学（宁夏）		0.10	0.05	0.15	0.70	68"		0
"84	宁夏医科大学（宁夏）		0.05	0.05	0.15	0.75	62"		0
"85	青海大学（青海）		0.05	0.10	0.15	0.70	63"		0
"86	青海师范大学（青海）		0.10	0.10	0.10	0.70	58"		0
"87	南昌大学（江西）		0.15	0.05	0.15	0.65	75"		0
"88	南昌航空大学（江西）		0.10	0.05	0.15	0.70	67"		0
"89	广西大学（广西）		0.15	0.10	0.10	0.65	72"		0
"90	广西师范大学（广西）		0.10	0.05	0.15	0.70	65"		0
"91	内蒙古大学（内蒙古）		0.15	0.10	0.10	0.65	70"		0
"92	海南大学（海南）		0.15	0.10	0.10	0.65	73"		0
"93	燕山大学（河北）		0.10	0.05	0.15	0.70	74"		0
"94	太原理工大学（山西）		0.10	0.05	0.15	0.70	76"		0
"95	山西大学（山西）		0.15	0.10	0.10	0.65	71"		0
"96	香港大学（香港）		0.20	0.10	0.10	0.60	95"		0
"97	香港中文大学（香港）		0.20	0.10	0.10	0.60	92"		0
"98	香港科技大学（香港）		0.15	0.05	0.10	0.70	90"		0
"99	澳门大学（澳门）		0.15	0.10	0.05	0.70	82"		0
"100	台湾大学（台湾）		0.15	0.10	0.15	0.60	93"		0
"101	西湖（杭州）			0.20	0.60	0.10	0.10	98"		1
"102	奥林匹克森林公园		0.05	0.30	0.55	0.10	85"		1
"103	九寨沟（四川）			0.05	0.75	0.15	0.05	97"		1
"104	黄山（安徽）			0.10	0.70	0.15	0.05	95"		1
"105	张家界国家森林公园		0.05	0.75	0.15	0.05	94"		1
"106	桂林漓江（广西）		0.15	0.70	0.10	0.05	92"		1
"107	长白山天池（吉林）		0.05	0.75	0.15	0.05	88"		1
"108	天山天池（新疆）		0.05	0.70	0.20	0.05	82"		1
"109	喀纳斯湖（新疆）		0.05	0.75	0.15	0.05	90"		1
"110	青海湖（青海）			0.05	0.70	0.20	0.05	84"		1
"111	壶口瀑布（山西/陕西）	0.05	0.75	0.15	0.05	83"		1
"112	黄果树瀑布（贵州）		0.10	0.70	0.15	0.05	89"		1
"113	呼伦贝尔草原（内蒙古）	0.10	0.65	0.20	0.05	86"		1
"114	神农架（湖北）			0.05	0.70	0.20	0.05	80"		1
"115	三清山（江西）			0.05	0.70	0.20	0.05	78"		1
"116	稻城亚丁（四川）		0.05	0.75	0.15	0.05	91"		1
"117	梅里雪山（云南）		0.05	0.75	0.15	0.05	87"		1
"118	四姑娘山（四川）		0.05	0.70	0.20	0.05	85"		1
"119	峨眉山（四川）			0.10	0.70	0.15	0.05	90"		1
"120	庐山（江西）			0.10	0.65	0.20	0.05	82"		1
"121	武夷山（福建/江西）		0.10	0.70	0.15	0.05	88"		1
"122	雁荡山（浙江）			0.05	0.70	0.20	0.05	79"		1
"123	崂山（山东）			0.10	0.65	0.20	0.05	75"		1
"124	玉龙雪山（云南）		0.05	0.75	0.15	0.05	93"		1
"125	普达措国家公园（云南）	0.05	0.70	0.20	0.05	81"		1
"126	阿尔山国家森林公园		0.05	0.65	0.25	0.05	73"		1
"127	额济纳胡杨林（内蒙古）	0.05	0.75	0.15	0.05	85"		1
"128	巴音布鲁克草原（新疆）	0.10	0.65	0.20	0.05	77"		1
"129	喀拉峻草原（新疆）		0.05	0.70	0.20	0.05	74"		1
"130	张掖丹霞地貌（甘肃）		0.05	0.75	0.15	0.05	89"		1
"131	腾冲热海（云南）		0.10	0.70	0.15	0.05	76"		1
"132	镜泊湖（黑龙江）		0.05	0.70	0.20	0.05	70"		1
"133	赛里木湖（新疆）		0.05	0.75	0.15	0.05	83"		1
"134	纳木错（西藏）			0.05	0.75	0.15	0.05	88"		1
"135	羊卓雍措（西藏）		0.05	0.75	0.15	0.05	86"		1
"136	东川红土地（云南）		0.05	0.70	0.20	0.05	72"		1
"137	元阳梯田（云南）		0.10	0.70	0.15	0.05	78"		1
"138	荔波小七孔（贵州）		0.10	0.75	0.10	0.05	84"		1
"139	黄龙景区（四川）		0.05	0.75	0.15	0.05	87"		1
"140	可可西里自然保护区		0.00	0.65	0.25	0.10	68"		1
"141	故宫（北京）			0.10	0.75	0.05	0.10	100"		1
"142	长城（北京）			0.05	0.80	0.10	0.05	98"		1
"143	颐和园（北京）			0.10	0.70	0.10	0.10	95"		1
"144	秦始皇兵马俑（西安）		0.05	0.75	0.05	0.15	97"		1
"145	布达拉宫（拉萨）		0.10	0.70	0.05	0.15	93"		1
"146	莫高窟（敦煌）			0.05	0.70	0.05	0.20	88"		1
"147	苏州园林（江苏）		0.15	0.70	0.05	0.10	92"		1
"148	平遥古城（山西）		0.20	0.65	0.05	0.10	85"		1
"149	丽江古城（云南）		0.25	0.65	0.05	0.05	90"		1
"150	鼓浪屿（厦门）			0.20	0.70	0.05	0.05	89"		1
"151	天坛（北京）			0.10	0.75	0.05	0.10	91"		1
"152	圆明园（北京）			0.05	0.70	0.10	0.15	86"		1
"153	明十三陵（北京）		0.05	0.70	0.10	0.15	82"		1
"154	承德避暑山庄（河北）		0.10	0.70	0.10	0.10	84"		1
"155	云冈石窟（山西）		0.05	0.70	0.05	0.20	80"		1
"156	龙门石窟（河南）		0.05	0.70	0.05	0.20	83"		1
"157	大足石刻（重庆）		0.05	0.70	0.05	0.20	78"		1
"158	乐山大佛（四川）		0.10	0.75	0.05	0.10	87"		1
"159	麦积山石窟（甘肃）		0.05	0.70	0.05	0.20	75"		1
"160	高昌故城（新疆）		0.05	0.65	0.05	0.25	68"		1
"161	交河故城（新疆）		0.05	0.65	0.05	0.25	65"		1
"162	殷墟（河南安阳）		0.05	0.60	0.05	0.30	72"		1
"163	曲阜三孔（山东）		0.10	0.70	0.05	0.15	81"		1
"164	南京夫子庙（江苏）		0.25	0.60	0.05	0.10	89"		1
"165	中山陵（南京）			0.10	0.70	0.10	0.10	88"		1
"166	寒山寺（苏州）			0.15	0.65	0.05	0.15	76"		1
"167	岳阳楼（湖南）			0.10	0.70	0.05	0.15	74"		1
"168	黄鹤楼（武汉）			0.15	0.70	0.05	0.10	85"		1
"169	滕王阁（南昌）			0.10	0.70	0.05	0.15	77"		1
"170	沈阳故宫（辽宁）		0.10	0.70	0.05	0.15	73"		1
"171	大理崇圣寺三塔（云南）	0.10	0.75	0.05	0.10	82"		1
"172	嘉峪关（甘肃）			0.05	0.70	0.10	0.15	79"		1
"173	山海关（河北）			0.10	0.70	0.10	0.10	75"		1
"174	阆中古城（四川）		0.20	0.65	0.05	0.10	70"		1
"175	凤凰古城（湖南）		0.25	0.65	0.05	0.05	88"		1
"176	宏村（安徽）			0.15	0.70	0.05	0.10	84"		1
"177	西递（安徽）			0.15	0.70	0.05	0.10	80"		1
"178	开平碉楼（广东）		0.10	0.70	0.05	0.15	76"		1
"179	福建土楼（福建）		0.15	0.70	0.05	0.10	83"		1
"180	周庄（江苏）			0.20	0.65	0.05	0.10	86"		1
"181	同里古镇（江苏）		0.20	0.65	0.05	0.10	82"		1
"182	南浔古镇（浙江）		0.15	0.70	0.05	0.10	78"		1
"183	乌镇（浙江）			0.25	0.65	0.05	0.05	94"		1
"184	西塘（浙江）			0.20	0.70	0.05	0.05	85"		1
"185	外滩（上海）			0.25	0.60	0.05	0.10	97"		1
"186	广州塔（广州）			0.15	0.70	0.05	0.10	95"		1
"187	东方明珠塔（上海）		0.10	0.75	0.05	0.10	93"		1
"188	大唐不夜城（西安）		0.30	0.60	0.05	0.05	89"		1
"189	都江堰（四川）			0.10	0.65	0.10	0.15	88"		1
"190	上海迪士尼乐园			0.20	0.70	0.05	0.05	98"		1
"191	北京798艺术区			0.20	0.60	0.05	0.15	85"		1
"192	珠海长隆海洋王国		0.15	0.75	0.05	0.05	92"		1
"193	横店影视城（浙江）		0.20	0.70	0.05	0.05	90"		1
"194	哈尔滨冰雪大世界		0.15	0.75	0.05	0.05	87"		1
"195	深圳华侨城				0.20	0.70	0.05	0.05	83"		1
"196	成都大熊猫繁育基地		0.10	0.75	0.05	0.10	91"		1
"197	茶卡盐湖（青海）		0.05	0.80	0.10	0.05	89"		1
"198	霞浦滩涂（福建）		0.10	0.75	0.10	0.05	76"		1
"199	北京环球影城			0.20	0.70	0.05	0.05	96"		1
"200	广州长隆旅游度假区		0.20	0.70	0.05	0.05	93"		1
"201	深圳欢乐谷				0.15	0.75	0.05	0.05	88"		1
"202	杭州宋城				0.25	0.65	0.05	0.05	85"		1
"203	西安城墙				0.15	0.70	0.10	0.05	87"		1
"204	成都宽窄巷子			0.30	0.60	0.05	0.05	92"		1
"205	重庆洪崖洞				0.25	0.65	0.05	0.05	95"		1
"206	长沙橘子洲头			0.15	0.70	0.10	0.05	83"		1
"207	厦门曾厝垵				0.25	0.65	0.05	0.05	81"		1
"208	青岛八大关				0.15	0.70	0.10	0.05	79"		1
"209	三亚亚龙湾				0.10	0.75	0.10	0.05	94"		1
"210	三亚天涯海角			0.10	0.75	0.10	0.05	76"		1
"211	哈尔滨中央大街			0.20	0.70	0.05	0.05	86"		1
"212	大连星海广场			0.15	0.70	0.10	0.05	78"		1
"213	天津之眼				0.15	0.70	0.05	0.10	82"		1
"214	澳门大三巴牌坊			0.20	0.70	0.05	0.05	89"		1
"215	香港迪士尼乐园			0.20	0.70	0.05	0.05	97"		1
"216	台北101大楼			0.15	0.70	0.05	0.10	90"		1
"217	日月潭（台湾）			0.10	0.75	0.10	0.05	84"		1
"218	阿里山（台湾）			0.10	0.70	0.15	0.05	80"		1
"219	虎跳峡（云南）			0.05	0.70	0.20	0.05	77"		1
"220	泸沽湖（云南）			0.10	0.75	0.10	0.05	86"		1
"221	成都宽窄巷子			0.30	0.60	0.05	0.05	89"		1
"222	重庆洪崖洞				0.25	0.65	0.05	0.05	93"		1
"223	长沙橘子洲头			0.15	0.70	0.10	0.05	85"		1
"224	厦门曾厝垵				0.25	0.65	0.05	0.05	82"		1
"225	青岛八大关				0.15	0.70	0.10	0.05	80"		1
"226	三亚亚龙湾				0.10	0.75	0.10	0.05	91"		1
"227	三亚天涯海角			0.10	0.75	0.10	0.05	78"		1
"228	哈尔滨中央大街			0.20	0.70	0.05	0.05	84"		1
"229	大连星海广场			0.15	0.70	0.10	0.05	76"		1
"230	天津之眼				0.15	0.70	0.05	0.10	79"		1
"231	澳门大三巴牌坊			0.20	0.70	0.05	0.05	87"		1
"232	香港迪士尼乐园			0.20	0.70	0.05	0.05	95"		1
"233	台北101大楼			0.15	0.70	0.05	0.10	88"		1
"234	日月潭（台湾）			0.10	0.75	0.10	0.05	83"		1
"235	阿里山（台湾）			0.10	0.70	0.15	0.05	81"		1
"236	虎跳峡（云南）			0.05	0.70	0.20	0.05	77"		1
"237	泸沽湖（云南）			0.10	0.75	0.10	0.05	85"		1
"238	千岛湖（浙江）			0.15	0.65	0.15	0.05	80"		1
"239	沙坡头（宁夏）			0.05	0.70	0.20	0.05	72"		1
"240	趵突泉（济南）			0.10	0.75	0.05	0.10	77"		1
"241	峨眉山金顶（四川）		0.05	0.75	0.15	0.05	80"		1
"242	青海塔尔寺（青海）		0.10	0.70	0.05	0.15	68"		1
"243	西江千户苗寨（贵州）		0.20	0.65	0.05	0.10	65"		1
"244	德天瀑布（广西）		0.05	0.75	0.15	0.05	76"		1
"245	龙脊梯田（广西）		0.10	0.70	0.15	0.05	70"		1
"246	东澳岛（广东）			0.15	0.70	0.10	0.05	78"		1
"247	南迦巴瓦峰（西藏）		0.05	0.75	0.15	0.05	78"		1
"248	珠穆朗玛峰大本营（西藏）	0.00	0.70	0.25	0.05	90"		1
"249	若尔盖花湖（四川）		0.05	0.75	0.15	0.05	68"		1
"250	扎龙自然保护区（黑龙江）	0.05	0.70	0.20	0.05	73"		1
"251	罗平油菜花海（云南）		0.10	0.75	0.10	0.05	77"		1
"252	普者黑（云南）			0.15	0.70	0.10	0.05	68"		1
"253	西双版纳热带植物园		0.10	0.70	0.05	0.15	80"		1
"254	镇远古镇（贵州）		0.20	0.65	0.05	0.10	77"		1
"255	阆中古城（四川）		0.20	0.65	0.05	0.10	75"		1
"256	东关清真大寺（青海）		0.05	0.70	0.05	0.20	71"		1
"257	坎儿井（新疆）			0.05	0.65	0.05	0.25	82"		1
"258	火焰山（新疆）			0.05	0.75	0.10	0.10	88"		1
"259	敦煌雅丹地质公园		0.00	0.75	0.20	0.05	90"		1
"260	中山陵音乐台（南京）		0.10	0.70	0.05	0.15	74"		1
"261	罗平油菜花海（云南）		0.10	0.75	0.10	0.05	82"		1
"262	普者黑（云南）			0.15	0.70	0.10	0.05	78"		1
"263	西双版纳热带植物园		0.10	0.70	0.05	0.15	76"		1
"264	镇远古镇（贵州）		0.20	0.65	0.05	0.10	74"		1
"265	阆中古城（四川）		0.20	0.65	0.05	0.10	72"		1
"266	东关清真大寺（青海）		0.05	0.70	0.05	0.20	68"		1
"267	坎儿井（新疆）			0.05	0.65	0.05	0.25	65"		1
"268	火焰山（新疆）			0.05	0.75	0.10	0.10	70"		1
"269	敦煌雅丹地质公园		0.00	0.75	0.20	0.05	73"		1
"270	中山陵音乐台（南京）		0.10	0.70	0.05	0.15	75"		1
"271	鼋头渚（无锡）			0.15	0.70	0.10	0.05	77"		1
"272	云水谣古镇（福建）		0.20	0.65	0.05	0.10	71"		1
"273	崀山（湖南）			0.05	0.70	0.20	0.05	69"		1
"274	龙虎山（江西）			0.10	0.70	0.15	0.05	74"		1
"275	三坊七巷（福州）		0.25	0.65	0.05	0.05	80"		1
"276	鼓山（福州）			0.05	0.70	0.20	0.05	72"		1
"277	白水洋（福建）			0.05	0.70	0.20	0.05	75"		1
"278	太姥山（福建）			0.10	0.70	0.15	0.05	73"		1
"279	冠豸山（福建）			0.05	0.70	0.20	0.05	68"		1
"280	湄洲岛（福建）			0.15	0.70	0.10	0.05	76"		1
"281	平潭岛（福建）			0.15	0.70	0.10	0.05	78"		1
"282	武夷山九曲溪（福建）		0.10	0.75	0.10	0.05	85"		1
"283	清源山（福建）			0.05	0.70	0.20	0.05	72"		1
"284	东山岛（福建）			0.15	0.70	0.10	0.05	76"		1
"285	南靖云水谣（福建）		0.20	0.65	0.05	0.10	74"		1
"286	永定土楼（福建）		0.15	0.70	0.05	0.10	82"		1
"287	泰宁大金湖（福建）		0.10	0.70	0.15	0.05	75"		1
"288	白水洋-鸳鸯溪（福建）	0.05	0.70	0.20	0.05	77"		1
"289	冠豸山（福建）			0.05	0.70	0.20	0.05	71"		1
"290	湄洲岛妈祖庙（福建）		0.15	0.70	0.05	0.10	79"		1
"291	三清山（江西）			0.05	0.75	0.15	0.05	84"		1
"292	龙虎山（江西）			0.10	0.70	0.15	0.05	80"		1
"293	井冈山（江西）			0.10	0.70	0.15	0.05	83"		1
"294	婺源篁岭（江西）		0.15	0.70	0.10	0.05	86"		1
"295	武功山（江西）			0.05	0.70	0.20	0.05	82"		1
"296	庐山西海（江西）		0.10	0.70	0.15	0.05	75"		1
"297	明月山（江西）			0.05	0.70	0.20	0.05	74"		1
"298	龟峰（江西）			0.05	0.70	0.20	0.05	72"		1
"299	大觉山（江西）			0.05	0.70	0.20	0.05	73"		1
"300	景德镇古窑（江西）		0.15	0.65	0.05	0.15	81"		1
