"序号	名称					饮食	旅游	运动	学习	热度"
"39	华中科技大学			0.10	0.05	0.15	0.70	93"
"40	武汉理工大学			0.10	0.05	0.15	0.70	80"
"41	华中师范大学（湖北）		0.10	0.05	0.10	0.75	72"
"42	中山大学（广东）		0.15	0.10	0.15	0.60	95"
"43	华南理工大学（广东）		0.10	0.05	0.15	0.70	89"
"44	暨南大学（广东）		0.15	0.10	0.10	0.65	82"
"45	深圳大学（广东）		0.20	0.10	0.15	0.55	85"
"46	南方科技大学（广东）		0.10	0.05	0.10	0.75	88"
"47	西安交通大学（陕西）		0.10	0.05	0.15	0.70	93"
"48	西北工业大学（陕西）		0.10	0.05	0.20	0.65	87"
"49	西北大学（陕西）		0.15	0.10	0.10	0.65	76"
"50	长安大学（陕西）		0.10	0.05	0.15	0.70	74"
"51	哈尔滨工业大学			0.10	0.05	0.20	0.65	92"
"52	哈尔滨工程大学			0.10	0.05	0.15	0.70	80"
"53	吉林大学（吉林）		0.15	0.10	0.15	0.60	86"
"54	大连理工大学（辽宁）		0.10	0.05	0.15	0.70	88"
"55	东北大学（辽宁）		0.10	0.05	0.15	0.70	83"
"56	大连海事大学（辽宁）		0.10	0.05	0.10	0.75	75"
"57	山东大学（山东）		0.15	0.10	0.15	0.60	90"
"58	中国海洋大学（山东）		0.10	0.10	0.15	0.65	84"
"59	山东科技大学（山东）		0.10	0.05	0.15	0.70	70"
"60	中国石油大学（华东）		0.10	0.05	0.15	0.70	78"
"61	四川大学（四川）		0.15	0.10	0.15	0.60	91"
"62	电子科技大学（四川）		0.10	0.05	0.15	0.70	89"
"63	西南交通大学（四川）		0.10	0.05	0.15	0.70	81"
"64	厦门大学（福建）		0.15	0.15	0.10	0.60	94"
"65	福州大学（福建）		0.10	0.05	0.15	0.70	77"
"66	华侨大学（福建）		0.15	0.10	0.10	0.65	73"
"67	兰州大学（甘肃）		0.10	0.05	0.15	0.70	82"
"68	湖南大学（湖南）		0.15	0.10	0.10	0.65	85"
"69	中南大学（湖南）		0.10	0.05	0.15	0.70	87"
"70	湖南师范大学（湖南）		0.10	0.05	0.10	0.75	71"
"71	国防科技大学（湖南）		0.05	0.00	0.20	0.75	90"
"72	中国科学技术大学（安徽）	0.10	0.05	0.15	0.70	96"
"73	安徽大学（安徽）		0.15	0.05	0.10	0.70	75"
"74	郑州大学（河南）		0.15	0.05	0.15	0.65	83"
"75	河南大学（河南）		0.15	0.10	0.10	0.65	76"
"76	云南大学（云南）		0.15	0.10	0.10	0.65	79"
"77	昆明理工大学（云南）		0.10	0.05	0.15	0.70	70"
"78	贵州大学（贵州）		0.15	0.05	0.10	0.70	72"
"79	贵州师范大学（贵州）		0.10	0.05	0.10	0.75	68"
"80	新疆大学（新疆）		0.10	0.05	0.15	0.70	69"
"81	西藏大学（西藏）		0.10	0.10	0.10	0.70	65"
"82	西藏民族大学（陕西）		0.05	0.10	0.10	0.75	60"
"83	宁夏大学（宁夏）		0.10	0.05	0.15	0.70	68"
"84	宁夏医科大学（宁夏）		0.05	0.05	0.15	0.75	62"
"85	青海大学（青海）		0.05	0.10	0.15	0.70	63"
"86	青海师范大学（青海）		0.10	0.10	0.10	0.70	58"
"87	南昌大学（江西）		0.15	0.05	0.15	0.65	75"
"88	南昌航空大学（江西）		0.10	0.05	0.15	0.70	67"
"89	广西大学（广西）		0.15	0.10	0.10	0.65	72"
"90	广西师范大学（广西）		0.10	0.05	0.15	0.70	65"
"91	内蒙古大学（内蒙古）		0.15	0.10	0.10	0.65	70"
"92	海南大学（海南）		0.15	0.10	0.10	0.65	73"
"93	燕山大学（河北）		0.10	0.05	0.15	0.70	74"
"94	太原理工大学（山西）		0.10	0.05	0.15	0.70	76"
"95	山西大学（山西）		0.15	0.10	0.10	0.65	71"
"96	香港大学（香港）		0.20	0.10	0.10	0.60	95"
"97	香港中文大学（香港）		0.20	0.10	0.10	0.60	92"
"98	香港科技大学（香港）		0.15	0.05	0.10	0.70	90"
"99	澳门大学（澳门）		0.15	0.10	0.05	0.70	82"
"100	台湾大学（台湾）		0.15	0.10	0.15	0.60	93"
"101	西湖（杭州）			0.20	0.60	0.10	0.10	98"
"102	奥林匹克森林公园		0.05	0.30	0.55	0.10	85"
"103	九寨沟（四川）			0.05	0.75	0.15	0.05	97"
"104	黄山（安徽）			0.10	0.70	0.15	0.05	95"
"105	张家界国家森林公园		0.05	0.75	0.15	0.05	94"
"106	桂林漓江（广西）		0.15	0.70	0.10	0.05	92"
"107	长白山天池（吉林）		0.05	0.75	0.15	0.05	88"
"108	天山天池（新疆）		0.05	0.70	0.20	0.05	82"
"109	喀纳斯湖（新疆）		0.05	0.75	0.15	0.05	90"
"110	青海湖（青海）			0.05	0.70	0.20	0.05	84"
"111	壶口瀑布（山西/陕西）	0.05	0.75	0.15	0.05	83"
"112	黄果树瀑布（贵州）		0.10	0.70	0.15	0.05	89"
"113	呼伦贝尔草原（内蒙古）	0.10	0.65	0.20	0.05	86"
"114	神农架（湖北）			0.05	0.70	0.20	0.05	80"
"115	三清山（江西）			0.05	0.70	0.20	0.05	78"
"116	稻城亚丁（四川）		0.05	0.75	0.15	0.05	91"
"117	梅里雪山（云南）		0.05	0.75	0.15	0.05	87"
"118	四姑娘山（四川）		0.05	0.70	0.20	0.05	85"
"119	峨眉山（四川）			0.10	0.70	0.15	0.05	90"
"120	庐山（江西）			0.10	0.65	0.20	0.05	82"
"121	武夷山（福建/江西）		0.10	0.70	0.15	0.05	88"
"122	雁荡山（浙江）			0.05	0.70	0.20	0.05	79"
"123	崂山（山东）			0.10	0.65	0.20	0.05	75"
"124	玉龙雪山（云南）		0.05	0.75	0.15	0.05	93"
"125	普达措国家公园（云南）	0.05	0.70	0.20	0.05	81"
"126	阿尔山国家森林公园		0.05	0.65	0.25	0.05	73"
"127	额济纳胡杨林（内蒙古）	0.05	0.75	0.15	0.05	85"
"128	巴音布鲁克草原（新疆）	0.10	0.65	0.20	0.05	77"
"129	喀拉峻草原（新疆）		0.05	0.70	0.20	0.05	74"
"130	张掖丹霞地貌（甘肃）		0.05	0.75	0.15	0.05	89"
"131	腾冲热海（云南）		0.10	0.70	0.15	0.05	76"
"132	镜泊湖（黑龙江）		0.05	0.70	0.20	0.05	70"
"133	赛里木湖（新疆）		0.05	0.75	0.15	0.05	83"
"134	纳木错（西藏）			0.05	0.75	0.15	0.05	88"
"135	羊卓雍措（西藏）		0.05	0.75	0.15	0.05	86"
"136	东川红土地（云南）		0.05	0.70	0.20	0.05	72"
"137	元阳梯田（云南）		0.10	0.70	0.15	0.05	78"
"138	荔波小七孔（贵州）		0.10	0.75	0.10	0.05	84"
"139	黄龙景区（四川）		0.05	0.75	0.15	0.05	87"
"140	可可西里自然保护区		0.00	0.65	0.25	0.10	68"
"141	故宫（北京）			0.10	0.75	0.05	0.10	100"
"142	长城（北京）			0.05	0.80	0.10	0.05	98"
"143	颐和园（北京）			0.10	0.70	0.10	0.10	95"
"144	秦始皇兵马俑（西安）		0.05	0.75	0.05	0.15	97"
"145	布达拉宫（拉萨）		0.10	0.70	0.05	0.15	93"
"146	莫高窟（敦煌）			0.05	0.70	0.05	0.20	88"
"147	苏州园林（江苏）		0.15	0.70	0.05	0.10	92"
"148	平遥古城（山西）		0.20	0.65	0.05	0.10	85"
"149	丽江古城（云南）		0.25	0.65	0.05	0.05	90"
"150	鼓浪屿（厦门）			0.20	0.70	0.05	0.05	89"
"151	天坛（北京）			0.10	0.75	0.05	0.10	91"
"152	圆明园（北京）			0.05	0.70	0.10	0.15	86"
"153	明十三陵（北京）		0.05	0.70	0.10	0.15	82"
"154	承德避暑山庄（河北）		0.10	0.70	0.10	0.10	84"
"155	云冈石窟（山西）		0.05	0.70	0.05	0.20	80"
"156	龙门石窟（河南）		0.05	0.70	0.05	0.20	83"
"157	大足石刻（重庆）		0.05	0.70	0.05	0.20	78"
"158	乐山大佛（四川）		0.10	0.75	0.05	0.10	87"
"159	麦积山石窟（甘肃）		0.05	0.70	0.05	0.20	75"
"160	高昌故城（新疆）		0.05	0.65	0.05	0.25	68"
"161	交河故城（新疆）		0.05	0.65	0.05	0.25	65"
"162	殷墟（河南安阳）		0.05	0.60	0.05	0.30	72"
"163	曲阜三孔（山东）		0.10	0.70	0.05	0.15	81"
"164	南京夫子庙（江苏）		0.25	0.60	0.05	0.10	89"
"165	中山陵（南京）			0.10	0.70	0.10	0.10	88"
"166	寒山寺（苏州）			0.15	0.65	0.05	0.15	76"
"167	岳阳楼（湖南）			0.10	0.70	0.05	0.15	74"
"168	黄鹤楼（武汉）			0.15	0.70	0.05	0.10	85"
"169	滕王阁（南昌）			0.10	0.70	0.05	0.15	77"
"170	沈阳故宫（辽宁）		0.10	0.70	0.05	0.15	73"
"171	大理崇圣寺三塔（云南）	0.10	0.75	0.05	0.10	82"
"172	嘉峪关（甘肃）			0.05	0.70	0.10	0.15	79"
"173	山海关（河北）			0.10	0.70	0.10	0.10	75"
"174	阆中古城（四川）		0.20	0.65	0.05	0.10	70"
"175	凤凰古城（湖南）		0.25	0.65	0.05	0.05	88"
"176	宏村（安徽）			0.15	0.70	0.05	0.10	84"
"177	西递（安徽）			0.15	0.70	0.05	0.10	80"
"178	开平碉楼（广东）		0.10	0.70	0.05	0.15	76"
"179	福建土楼（福建）		0.15	0.70	0.05	0.10	83"
"180	周庄（江苏）			0.20	0.65	0.05	0.10	86"
"181	同里古镇（江苏）		0.20	0.65	0.05	0.10	82"
"182	南浔古镇（浙江）		0.15	0.70	0.05	0.10	78"
"183	乌镇（浙江）			0.25	0.65	0.05	0.05	94"
"184	西塘（浙江）			0.20	0.70	0.05	0.05	85"
"185	外滩（上海）			0.25	0.60	0.05	0.10	97"
"186	广州塔（广州）			0.15	0.70	0.05	0.10	95"
"187	东方明珠塔（上海）		0.10	0.75	0.05	0.10	93"
"188	大唐不夜城（西安）		0.30	0.60	0.05	0.05	89"
"189	都江堰（四川）			0.10	0.65	0.10	0.15	88"
"190	上海迪士尼乐园			0.20	0.70	0.05	0.05	98"
"191	北京798艺术区			0.20	0.60	0.05	0.15	85"
"192	珠海长隆海洋王国		0.15	0.75	0.05	0.05	92"
"193	横店影视城（浙江）		0.20	0.70	0.05	0.05	90"
"194	哈尔滨冰雪大世界		0.15	0.75	0.05	0.05	87"
"195	深圳华侨城				0.20	0.70	0.05	0.05	83"
"196	成都大熊猫繁育基地		0.10	0.75	0.05	0.10	91"
"197	茶卡盐湖（青海）		0.05	0.80	0.10	0.05	89"
"198	霞浦滩涂（福建）		0.10	0.75	0.10	0.05	76"
"199	北京环球影城			0.20	0.70	0.05	0.05	96"
"200	广州长隆旅游度假区		0.20	0.70	0.05	0.05	93"
"201	深圳欢乐谷				0.15	0.75	0.05	0.05	88"
"202	杭州宋城				0.25	0.65	0.05	0.05	85"
"203	西安城墙				0.15	0.70	0.10	0.05	87"
"204	成都宽窄巷子			0.30	0.60	0.05	0.05	92"
"205	重庆洪崖洞				0.25	0.65	0.05	0.05	95"
"206	长沙橘子洲头			0.15	0.70	0.10	0.05	83"
"207	厦门曾厝垵				0.25	0.65	0.05	0.05	81"
"208	青岛八大关				0.15	0.70	0.10	0.05	79"
"209	三亚亚龙湾				0.10	0.75	0.10	0.05	94"
"210	三亚天涯海角			0.10	0.75	0.10	0.05	76"
"211	哈尔滨中央大街			0.20	0.70	0.05	0.05	86"
"212	大连星海广场			0.15	0.70	0.10	0.05	78"
"213	天津之眼				0.15	0.70	0.05	0.10	82"
"214	澳门大三巴牌坊			0.20	0.70	0.05	0.05	89"
"215	香港迪士尼乐园			0.20	0.70	0.05	0.05	97"
"216	台北101大楼			0.15	0.70	0.05	0.10	90"
"217	日月潭（台湾）			0.10	0.75	0.10	0.05	84"
"218	阿里山（台湾）			0.10	0.70	0.15	0.05	80"
"219	虎跳峡（云南）			0.05	0.70	0.20	0.05	77"
"220	泸沽湖（云南）			0.10	0.75	0.10	0.05	86"
"221	成都宽窄巷子			0.30	0.60	0.05	0.05	89"
"222	重庆洪崖洞				0.25	0.65	0.05	0.05	93"
"223	长沙橘子洲头			0.15	0.70	0.10	0.05	85"
"224	厦门曾厝垵				0.25	0.65	0.05	0.05	82"
"225	青岛八大关				0.15	0.70	0.10	0.05	80"
"226	三亚亚龙湾				0.10	0.75	0.10	0.05	91"
"227	三亚天涯海角			0.10	0.75	0.10	0.05	78"
"228	哈尔滨中央大街			0.20	0.70	0.05	0.05	84"
"229	大连星海广场			0.15	0.70	0.10	0.05	76"
"230	天津之眼				0.15	0.70	0.05	0.10	79"
"231	澳门大三巴牌坊			0.20	0.70	0.05	0.05	87"
"232	香港迪士尼乐园			0.20	0.70	0.05	0.05	95"
"233	台北101大楼			0.15	0.70	0.05	0.10	88"
"234	日月潭（台湾）			0.10	0.75	0.10	0.05	83"
"235	阿里山（台湾）			0.10	0.70	0.15	0.05	81"
"236	虎跳峡（云南）			0.05	0.70	0.20	0.05	77"
"237	泸沽湖（云南）			0.10	0.75	0.10	0.05	85"
"238	千岛湖（浙江）			0.15	0.65	0.15	0.05	80"
"239	沙坡头（宁夏）			0.05	0.70	0.20	0.05	72"
"240	贺兰山岩画（宁夏）		0.05	0.65	0.10	0.20	68"
"261	罗平油菜花海（云南）		0.10	0.75	0.10	0.05	82"
"262	普者黑（云南）			0.15	0.70	0.10	0.05	78"
"263	西双版纳热带植物园		0.10	0.70	0.05	0.15	76"
"264	镇远古镇（贵州）		0.20	0.65	0.05	0.10	74"
"265	阆中古城（四川）		0.20	0.65	0.05	0.10	72"
"266	东关清真大寺（青海）		0.05	0.70	0.05	0.20	68"
"267	坎儿井（新疆）			0.05	0.65	0.05	0.25	65"
"268	火焰山（新疆）			0.05	0.75	0.10	0.10	70"
"269	敦煌雅丹地质公园		0.00	0.75	0.20	0.05	73"
"270	中山陵音乐台（南京）		0.10	0.70	0.05	0.15	75"
"271	鼋头渚（无锡）			0.15	0.70	0.10	0.05	77"
"272	云水谣古镇（福建）		0.20	0.65	0.05	0.10	71"
"273	崀山（湖南）			0.05	0.70	0.20	0.05	69"
"274	龙虎山（江西）			0.10	0.70	0.15	0.05	74"
"275	三坊七巷（福州）		0.25	0.65	0.05	0.05	80"
"276	鼓山（福州）			0.05	0.70	0.20	0.05	72"
"277	白水洋（福建）			0.05	0.70	0.20	0.05	75"
"278	太姥山（福建）			0.10	0.70	0.15	0.05	73"
"279	冠豸山（福建）			0.05	0.70	0.20	0.05	68"
"280	湄洲岛（福建）			0.15	0.70	0.10	0.05	76"
"281	平潭岛（福建）			0.15	0.70	0.10	0.05	78"
"282	武夷山九曲溪（福建）		0.10	0.75	0.10	0.05	85"
"283	清源山（福建）			0.05	0.70	0.20	0.05	72"
"284	东山岛（福建）			0.15	0.70	0.10	0.05	76"
"285	南靖云水谣（福建）		0.20	0.65	0.05	0.10	74"
"286	永定土楼（福建）		0.15	0.70	0.05	0.10	82"
"287	泰宁大金湖（福建）		0.10	0.70	0.15	0.05	75"
"288	白水洋-鸳鸯溪（福建）	0.05	0.70	0.20	0.05	77"
"289	冠豸山（福建）			0.05	0.70	0.20	0.05	71"
"290	湄洲岛妈祖庙（福建）		0.15	0.70	0.05	0.10	79"
"291	三清山（江西）			0.05	0.75	0.15	0.05	84"
"292	龙虎山（江西）			0.10	0.70	0.15	0.05	80"
"293	井冈山（江西）			0.10	0.70	0.15	0.05	83"
"294	婺源篁岭（江西）		0.15	0.70	0.10	0.05	86"
"295	武功山（江西）			0.05	0.70	0.20	0.05	82"
"296	庐山西海（江西）		0.10	0.70	0.15	0.05	75"
"297	明月山（江西）			0.05	0.70	0.20	0.05	74"
"298	龟峰（江西）			0.05	0.70	0.20	0.05	72"
"299	大觉山（江西）			0.05	0.70	0.20	0.05	73"
"300	景德镇古窑（江西）		0.15	0.65	0.05	0.15	81"
